"","x","y","group","foldchange"
"Loc666",0.796875,0.640625,"B",10
"Loc667",0.828125,0.640625,"B",10
"Loc668",0.859375,0.640625,"B",10
"Loc669",0.890625,0.640625,"B",10
"Loc670",0.921875,0.640625,"B",10
"Loc671",0.953125,0.640625,"B",10
"Loc672",0.984375,0.640625,"B",10
"Loc673",0.015625,0.671875,"B",10
"Loc674",0.046875,0.671875,"B",10
"Loc675",0.078125,0.671875,"B",10
"Loc676",0.109375,0.671875,"B",10
"Loc677",0.140625,0.671875,"B",10
"Loc678",0.171875,0.671875,"B",10
"Loc679",0.203125,0.671875,"B",10
"Loc680",0.234375,0.671875,"B",10
"Loc681",0.265625,0.671875,"B",10
"Loc682",0.296875,0.671875,"B",10
"Loc683",0.328125,0.671875,"B",10
"Loc684",0.359375,0.671875,"B",10
"Loc685",0.390625,0.671875,"B",10
"Loc686",0.421875,0.671875,"B",10
"Loc687",0.453125,0.671875,"B",10
"Loc688",0.484375,0.671875,"B",10
"Loc689",0.515625,0.671875,"B",10
"Loc690",0.546875,0.671875,"B",10
"Loc691",0.578125,0.671875,"B",10
"Loc692",0.609375,0.671875,"B",10
"Loc693",0.640625,0.671875,"B",10
"Loc694",0.671875,0.671875,"B",10
"Loc695",0.703125,0.671875,"B",10
"Loc696",0.734375,0.671875,"B",10
"Loc697",0.765625,0.671875,"B",10
"Loc698",0.796875,0.671875,"B",10
"Loc699",0.828125,0.671875,"B",10
"Loc700",0.859375,0.671875,"B",10
"Loc701",0.890625,0.671875,"B",10
"Loc702",0.921875,0.671875,"B",10
"Loc703",0.953125,0.671875,"B",10
"Loc704",0.984375,0.671875,"B",10
"Loc705",0.015625,0.703125,"B",10
"Loc706",0.046875,0.703125,"B",10
"Loc707",0.078125,0.703125,"B",10
"Loc708",0.109375,0.703125,"B",10
"Loc709",0.140625,0.703125,"B",10
"Loc710",0.171875,0.703125,"B",10
"Loc711",0.203125,0.703125,"B",10
"Loc712",0.234375,0.703125,"B",10
"Loc713",0.265625,0.703125,"B",10
"Loc714",0.296875,0.703125,"B",10
"Loc715",0.328125,0.703125,"B",10
"Loc716",0.359375,0.703125,"B",10
"Loc717",0.390625,0.703125,"B",10
"Loc718",0.421875,0.703125,"B",10
"Loc719",0.453125,0.703125,"B",10
"Loc720",0.484375,0.703125,"B",10
"Loc721",0.515625,0.703125,"B",10
"Loc722",0.546875,0.703125,"B",10
"Loc723",0.578125,0.703125,"B",10
"Loc724",0.609375,0.703125,"B",10
"Loc725",0.640625,0.703125,"B",10
"Loc726",0.671875,0.703125,"B",10
"Loc727",0.703125,0.703125,"B",10
"Loc728",0.734375,0.703125,"B",10
"Loc729",0.765625,0.703125,"B",10
"Loc730",0.796875,0.703125,"B",10
"Loc731",0.828125,0.703125,"B",10
"Loc732",0.859375,0.703125,"B",10
"Loc733",0.890625,0.703125,"B",10
"Loc734",0.921875,0.703125,"B",10
"Loc735",0.953125,0.703125,"B",10
"Loc736",0.984375,0.703125,"B",10
"Loc737",0.015625,0.734375,"B",10
"Loc738",0.046875,0.734375,"B",10
"Loc739",0.078125,0.734375,"B",10
"Loc740",0.109375,0.734375,"B",10
"Loc741",0.140625,0.734375,"B",10
"Loc742",0.171875,0.734375,"B",10
"Loc743",0.203125,0.734375,"B",10
"Loc744",0.234375,0.734375,"B",10
"Loc745",0.265625,0.734375,"B",10
"Loc746",0.296875,0.734375,"B",10
"Loc747",0.328125,0.734375,"B",10
"Loc748",0.359375,0.734375,"B",10
"Loc749",0.390625,0.734375,"B",10
"Loc750",0.421875,0.734375,"B",10
"Loc751",0.453125,0.734375,"B",10
"Loc752",0.484375,0.734375,"B",10
"Loc753",0.515625,0.734375,"B",10
"Loc754",0.546875,0.734375,"B",10
"Loc755",0.578125,0.734375,"B",10
"Loc756",0.609375,0.734375,"B",10
"Loc757",0.640625,0.734375,"B",10
"Loc758",0.671875,0.734375,"B",10
"Loc759",0.703125,0.734375,"B",10
"Loc760",0.734375,0.734375,"B",10
"Loc761",0.765625,0.734375,"B",10
"Loc762",0.796875,0.734375,"B",10
"Loc763",0.828125,0.734375,"B",10
"Loc764",0.859375,0.734375,"B",10
"Loc765",0.890625,0.734375,"B",10
"Loc766",0.921875,0.734375,"B",10
"Loc767",0.953125,0.734375,"B",10
"Loc768",0.984375,0.734375,"B",10
"Loc769",0.015625,0.765625,"B",10
"Loc770",0.046875,0.765625,"B",10
"Loc771",0.078125,0.765625,"B",10
"Loc772",0.109375,0.765625,"B",10
"Loc773",0.140625,0.765625,"B",10
"Loc774",0.171875,0.765625,"B",10
"Loc775",0.203125,0.765625,"B",10
"Loc776",0.234375,0.765625,"B",10
"Loc777",0.265625,0.765625,"B",10
"Loc778",0.296875,0.765625,"B",10
"Loc779",0.328125,0.765625,"B",10
"Loc780",0.359375,0.765625,"B",10
"Loc781",0.390625,0.765625,"B",10
"Loc782",0.421875,0.765625,"B",10
"Loc783",0.453125,0.765625,"B",10
"Loc784",0.484375,0.765625,"B",10
"Loc785",0.515625,0.765625,"B",10
"Loc786",0.546875,0.765625,"B",10
"Loc787",0.578125,0.765625,"B",10
"Loc788",0.609375,0.765625,"B",10
"Loc789",0.640625,0.765625,"B",10
"Loc790",0.671875,0.765625,"B",10
"Loc791",0.703125,0.765625,"B",10
"Loc792",0.734375,0.765625,"B",10
"Loc793",0.765625,0.765625,"B",10
"Loc794",0.796875,0.765625,"B",10
"Loc795",0.828125,0.765625,"B",10
"Loc796",0.859375,0.765625,"B",10
"Loc797",0.890625,0.765625,"B",10
"Loc798",0.921875,0.765625,"B",10
"Loc799",0.953125,0.765625,"B",10
"Loc800",0.984375,0.765625,"B",10
"Loc801",0.015625,0.796875,"B",10
"Loc802",0.046875,0.796875,"B",10
"Loc803",0.078125,0.796875,"B",10
"Loc804",0.109375,0.796875,"B",10
"Loc805",0.140625,0.796875,"B",10
"Loc806",0.171875,0.796875,"B",10
"Loc807",0.203125,0.796875,"B",10
"Loc808",0.234375,0.796875,"B",10
"Loc809",0.265625,0.796875,"B",10
"Loc810",0.296875,0.796875,"B",10
"Loc811",0.328125,0.796875,"B",10
"Loc812",0.359375,0.796875,"B",10
"Loc813",0.390625,0.796875,"B",10
"Loc814",0.421875,0.796875,"B",10
"Loc815",0.453125,0.796875,"B",10
"Loc816",0.484375,0.796875,"B",10
"Loc817",0.515625,0.796875,"B",10
"Loc818",0.546875,0.796875,"B",10
"Loc819",0.578125,0.796875,"B",10
"Loc820",0.609375,0.796875,"B",10
"Loc821",0.640625,0.796875,"B",10
"Loc822",0.671875,0.796875,"B",10
"Loc823",0.703125,0.796875,"B",10
"Loc824",0.734375,0.796875,"B",10
"Loc825",0.765625,0.796875,"B",10
"Loc826",0.796875,0.796875,"B",10
"Loc827",0.828125,0.796875,"B",10
"Loc828",0.859375,0.796875,"B",10
"Loc829",0.890625,0.796875,"B",10
"Loc830",0.921875,0.796875,"B",10
"Loc831",0.953125,0.796875,"B",10
"Loc832",0.984375,0.796875,"B",10
"Loc833",0.015625,0.828125,"B",10
"Loc834",0.046875,0.828125,"B",10
"Loc835",0.078125,0.828125,"B",10
"Loc836",0.109375,0.828125,"B",10
"Loc837",0.140625,0.828125,"B",10
"Loc838",0.171875,0.828125,"B",10
"Loc839",0.203125,0.828125,"B",10
"Loc840",0.234375,0.828125,"B",10
"Loc841",0.265625,0.828125,"B",10
"Loc842",0.296875,0.828125,"B",10
"Loc843",0.328125,0.828125,"B",10
"Loc844",0.359375,0.828125,"B",10
"Loc845",0.390625,0.828125,"B",10
"Loc846",0.421875,0.828125,"B",10
"Loc847",0.453125,0.828125,"B",10
"Loc848",0.484375,0.828125,"B",10
"Loc849",0.515625,0.828125,"B",10
"Loc850",0.546875,0.828125,"B",10
"Loc851",0.578125,0.828125,"B",10
"Loc852",0.609375,0.828125,"B",10
"Loc853",0.640625,0.828125,"B",10
"Loc854",0.671875,0.828125,"B",10
"Loc855",0.703125,0.828125,"B",10
"Loc856",0.734375,0.828125,"B",10
"Loc857",0.765625,0.828125,"B",10
"Loc858",0.796875,0.828125,"B",10
"Loc859",0.828125,0.828125,"B",10
"Loc860",0.859375,0.828125,"B",10
"Loc861",0.890625,0.828125,"B",10
"Loc862",0.921875,0.828125,"B",10
"Loc863",0.953125,0.828125,"B",10
"Loc864",0.984375,0.828125,"B",10
"Loc865",0.015625,0.859375,"B",10
"Loc866",0.046875,0.859375,"B",10
"Loc867",0.078125,0.859375,"B",10
"Loc868",0.109375,0.859375,"B",10
"Loc869",0.140625,0.859375,"B",10
"Loc870",0.171875,0.859375,"B",10
"Loc871",0.203125,0.859375,"B",10
"Loc872",0.234375,0.859375,"B",10
"Loc873",0.265625,0.859375,"B",10
"Loc874",0.296875,0.859375,"B",10
"Loc875",0.328125,0.859375,"B",10
"Loc876",0.359375,0.859375,"B",10
"Loc877",0.390625,0.859375,"B",10
"Loc878",0.421875,0.859375,"B",10
"Loc879",0.453125,0.859375,"B",10
"Loc880",0.484375,0.859375,"B",10
"Loc881",0.515625,0.859375,"B",10
"Loc882",0.546875,0.859375,"B",10
"Loc883",0.578125,0.859375,"B",10
"Loc884",0.609375,0.859375,"B",10
"Loc885",0.640625,0.859375,"B",10
"Loc886",0.671875,0.859375,"B",10
"Loc887",0.703125,0.859375,"B",10
"Loc888",0.734375,0.859375,"B",10
"Loc889",0.765625,0.859375,"B",10
"Loc890",0.796875,0.859375,"B",10
"Loc891",0.828125,0.859375,"B",10
"Loc892",0.859375,0.859375,"B",10
"Loc893",0.890625,0.859375,"B",10
"Loc894",0.921875,0.859375,"B",10
"Loc895",0.953125,0.859375,"B",10
"Loc896",0.984375,0.859375,"B",10
"Loc897",0.015625,0.890625,"B",10
"Loc898",0.046875,0.890625,"B",10
"Loc899",0.078125,0.890625,"B",10
"Loc900",0.109375,0.890625,"B",10
"Loc901",0.140625,0.890625,"B",10
"Loc902",0.171875,0.890625,"B",10
"Loc903",0.203125,0.890625,"B",10
"Loc904",0.234375,0.890625,"B",10
"Loc905",0.265625,0.890625,"B",10
"Loc906",0.296875,0.890625,"B",10
"Loc907",0.328125,0.890625,"B",10
"Loc908",0.359375,0.890625,"B",10
"Loc909",0.390625,0.890625,"B",10
"Loc910",0.421875,0.890625,"B",10
"Loc911",0.453125,0.890625,"B",10
"Loc912",0.484375,0.890625,"B",10
"Loc913",0.515625,0.890625,"B",10
"Loc914",0.546875,0.890625,"B",10
"Loc915",0.578125,0.890625,"B",10
"Loc916",0.609375,0.890625,"B",10
"Loc917",0.640625,0.890625,"B",10
"Loc918",0.671875,0.890625,"B",10
"Loc919",0.703125,0.890625,"B",10
"Loc920",0.734375,0.890625,"B",10
"Loc921",0.765625,0.890625,"B",10
"Loc922",0.796875,0.890625,"B",10
"Loc923",0.828125,0.890625,"B",10
"Loc924",0.859375,0.890625,"B",10
"Loc925",0.890625,0.890625,"B",10
"Loc926",0.921875,0.890625,"B",10
"Loc927",0.953125,0.890625,"B",10
"Loc928",0.984375,0.890625,"B",10
"Loc929",0.015625,0.921875,"B",10
"Loc930",0.046875,0.921875,"B",10
"Loc931",0.078125,0.921875,"B",10
"Loc932",0.109375,0.921875,"B",10
"Loc933",0.140625,0.921875,"B",10
"Loc934",0.171875,0.921875,"B",10
"Loc935",0.203125,0.921875,"B",10
"Loc936",0.234375,0.921875,"B",10
"Loc937",0.265625,0.921875,"B",10
"Loc938",0.296875,0.921875,"B",10
"Loc939",0.328125,0.921875,"B",10
"Loc940",0.359375,0.921875,"B",10
"Loc941",0.390625,0.921875,"B",10
"Loc942",0.421875,0.921875,"B",10
"Loc943",0.453125,0.921875,"B",10
"Loc944",0.484375,0.921875,"B",10
"Loc945",0.515625,0.921875,"B",10
"Loc946",0.546875,0.921875,"B",10
"Loc947",0.578125,0.921875,"B",10
"Loc948",0.609375,0.921875,"B",10
"Loc949",0.640625,0.921875,"B",10
"Loc950",0.671875,0.921875,"B",10
"Loc951",0.703125,0.921875,"B",10
"Loc952",0.734375,0.921875,"B",10
"Loc953",0.765625,0.921875,"B",10
"Loc954",0.796875,0.921875,"B",10
"Loc955",0.828125,0.921875,"B",10
"Loc956",0.859375,0.921875,"B",10
"Loc957",0.890625,0.921875,"B",10
"Loc958",0.921875,0.921875,"B",10
"Loc959",0.953125,0.921875,"B",10
"Loc960",0.984375,0.921875,"B",10
"Loc961",0.015625,0.953125,"B",10
"Loc962",0.046875,0.953125,"B",10
"Loc963",0.078125,0.953125,"B",10
"Loc964",0.109375,0.953125,"B",10
"Loc965",0.140625,0.953125,"B",10
"Loc966",0.171875,0.953125,"B",10
"Loc967",0.203125,0.953125,"B",10
"Loc968",0.234375,0.953125,"B",10
"Loc969",0.265625,0.953125,"B",10
"Loc970",0.296875,0.953125,"B",10
"Loc971",0.328125,0.953125,"B",10
"Loc972",0.359375,0.953125,"B",10
"Loc973",0.390625,0.953125,"B",10
"Loc974",0.421875,0.953125,"B",10
"Loc975",0.453125,0.953125,"B",10
"Loc976",0.484375,0.953125,"B",10
"Loc977",0.515625,0.953125,"B",10
"Loc978",0.546875,0.953125,"B",10
"Loc979",0.578125,0.953125,"B",10
"Loc980",0.609375,0.953125,"B",10
"Loc981",0.640625,0.953125,"B",10
"Loc982",0.671875,0.953125,"B",10
"Loc983",0.703125,0.953125,"B",10
"Loc984",0.734375,0.953125,"B",10
"Loc985",0.765625,0.953125,"B",10
"Loc986",0.796875,0.953125,"B",10
"Loc987",0.828125,0.953125,"B",10
"Loc988",0.859375,0.953125,"B",10
"Loc989",0.890625,0.953125,"B",10
"Loc990",0.921875,0.953125,"B",10
"Loc991",0.953125,0.953125,"B",10
"Loc992",0.984375,0.953125,"B",10
"Loc993",0.015625,0.984375,"B",10
"Loc994",0.046875,0.984375,"B",10
"Loc995",0.078125,0.984375,"B",10
"Loc996",0.109375,0.984375,"B",10
"Loc997",0.140625,0.984375,"B",10
"Loc998",0.171875,0.984375,"B",10
"Loc999",0.203125,0.984375,"B",10
"Loc1000",0.234375,0.984375,"B",10
"Loc1001",0.265625,0.984375,"B",10
"Loc1002",0.296875,0.984375,"B",10
"Loc1003",0.328125,0.984375,"B",10
"Loc1004",0.359375,0.984375,"B",10
"Loc1005",0.390625,0.984375,"B",10
"Loc1006",0.421875,0.984375,"B",10
"Loc1007",0.453125,0.984375,"B",10
"Loc1008",0.484375,0.984375,"B",10
"Loc1009",0.515625,0.984375,"B",10
"Loc1010",0.546875,0.984375,"B",10
"Loc1011",0.578125,0.984375,"B",10
"Loc1012",0.609375,0.984375,"B",10
"Loc1013",0.640625,0.984375,"B",10
"Loc1014",0.671875,0.984375,"B",10
"Loc1015",0.703125,0.984375,"B",10
"Loc1016",0.734375,0.984375,"B",10
"Loc1017",0.765625,0.984375,"B",10
"Loc1018",0.796875,0.984375,"B",10
"Loc1019",0.828125,0.984375,"B",10
"Loc1020",0.859375,0.984375,"B",10
"Loc1021",0.890625,0.984375,"B",10
"Loc1022",0.921875,0.984375,"B",10
"Loc1023",0.953125,0.984375,"B",10
"Loc1024",0.984375,0.984375,"B",10
